2025-06-18T01:15:24.117Z [ERROR]: API call error: Error: Request failed after 4 retries: undefined
2025-06-18T01:15:24.151Z [ERROR]: API call error: Error: Request failed after 4 retries: undefined
2025-06-18T01:15:24.165Z [ERROR]: API call error: Error: Request failed after 4 retries: undefined
2025-06-18T01:15:24.176Z [ERROR]: API call error: Error: Request failed after 4 retries: undefined
2025-06-18T01:15:24.187Z [ERROR]: API call error: Error: Request failed after 4 retries: undefined
2025-06-18T02:35:01.516Z [ERROR]: API call error: TypeError: Cannot read properties of null (reading 'data')
2025-06-18T02:35:01.517Z [ERROR]: API call error: TypeError: Cannot read properties of null (reading 'data')
2025-06-18T02:35:01.517Z [ERROR]: API call error: TypeError: Cannot read properties of null (reading 'data')
2025-06-18T02:38:32.620Z [ERROR]: API call error: TypeError: Cannot read properties of null (reading 'data')
2025-06-18T02:38:32.621Z [ERROR]: API call error: TypeError: Cannot read properties of null (reading 'data')
2025-06-18T02:38:32.621Z [ERROR]: API call error: TypeError: Cannot read properties of null (reading 'data')
2025-06-18T02:44:06.260Z [ERROR]: API call error: TypeError: Cannot read properties of null (reading 'data')
2025-06-18T02:44:06.261Z [ERROR]: API call error: TypeError: Cannot read properties of null (reading 'data')
2025-06-18T02:44:06.261Z [ERROR]: API call error: TypeError: Cannot read properties of null (reading 'data')
2025-06-18T02:54:35.910Z [ERROR]: API call error: TypeError: Cannot read properties of null (reading 'data')
